timestamp -- motor_step_command,mfc1_stpt,mfc2_stpt,mfc3_stpt,led1_stpt,led2_stpt,ft_posx,ft_posy,ft_heading,ft_frame,ft_error,ft_roll,ft_pitch,ft_yaw
02/21/2020-15:27:03.848423 -- 800006,0.5913592563414986,0.0,0.009241344259102042,1.0,0.0,-0.9381583150265099,5.3868381914049,6.2287740276669,50,6114.2554965883,0.030628159421311,0.008180671632139,-0.027576085367853
02/21/2020-15:27:03.864044 -- 800004,0.5912867557883973,0.0,0.009313844812203303,1.0,0.0,-0.8893440913452899,5.5075516123185,6.2471237994768,51,6361.3136363636,0.039461354277784,0.018074592663582,-0.018349771809902
02/21/2020-15:27:03.879664 -- 800002,0.591212578542405,0.0,0.009388022058195555,1.0,0.0,-0.7755389068737901,5.631056726895601,6.2652610220813,52,5886.1828703704,0.040130037285732,0.039032862489547,-0.018137222604549
02/21/2020-15:27:03.895285 -- 800000,0.5911593248221557,0.0,0.009441275778444926,1.0,0.0,-0.78339690078711,5.7197241711108,6.2813554761933,53,5610.2026194145,0.029580543246594,-0.0023273073368051,-0.016094454111964
02/21/2020-15:27:03.910908 -- 800000,0.5910745843943325,0.0,0.009526016206268167,1.0,0.0,-0.7312011207377099,5.8608169834365,6.2786151156627,54,5769.2490392006,0.046975034822347,0.017549008688458,0.0027403605305548
02/21/2020-15:27:03.926533 -- 799998,0.5909554808227906,0.0,0.00964511977780997,1.0,0.0,-0.6743848557610199,6.0591244300536,0.0085458171410968,55,5895.8244094488,0.06614044273911,0.018807444684534,-0.013116008657935
02/21/2020-15:27:03.942149 -- 799997,0.5908913944646493,0.0,0.009709206135951231,1.0,0.0,-0.63423565831512,6.1658282163588005,0.016773208558266,56,5806.9573312645,0.035734591745722,0.012931766991727,-0.0082273914171694
02/21/2020-15:27:03.957772 -- 799993,0.5908195267562353,0.0,0.009781073844365286,1.0,0.0,-0.55311071450478,6.2854879508682,0.049448408408636,57,5983.6020015396,0.040761623037087,0.025707462654541,-0.03267519985037
02/21/2020-15:27:03.973391 -- 799990,0.5907751274174579,0.0,0.009825473183142763,1.0,0.0,-0.52538289075105,6.359412849932699,0.071158516551478,58,5769.9294117647,0.025154328488992,0.0077408747927782,-0.021710108142841
02/21/2020-15:27:03.989019 -- 799988,0.5906946073292532,0.0,0.009905993271347448,1.0,0.0,-0.47034094659228,6.4934787967935,0.093182867712449,59,5537.843122102,0.046044652445236,0.014617719536025,-0.022024351160971
