timestamp -- motor_step_command,mfc1_stpt,mfc2_stpt,mfc3_stpt,led1_stpt,led2_stpt,ft_posx,ft_posy,ft_heading,ft_frame,ft_error,ft_roll,ft_pitch,ft_yaw
02/21/2020-15:40:01.554520 -- 800000,0.5945916967989142,0.0,0.006008903801686428,0.0,0.0,-0.023206859385282,0.0048248298079017005,6.2796349255968,1,4573.3450087566,0.0016220070610269,-0.0077327564176824,0.0035503815827979
02/21/2020-15:40:01.570142 -- 799999,0.5945796523908112,0.0,0.006020948209789358,0.0,0.0,-0.013460499073348498,0.0248787692992809,0.0031353723499912,2,4593.6889952153,0.0066839838856399,0.0032501794707255,-0.0066857539327893
02/21/2020-15:40:01.585771 -- 799999,0.5945714277452483,0.0,0.006029172855352368,0.0,0.0,-0.046890745565454,0.038572804161693,0.0008182874292545,3,5293.8710204082,0.0045426416986313,-0.011152419649448,0.0023170849207367
02/21/2020-15:40:01.601385 -- 800002,0.5945755748373189,0.0,0.006025025763281685,0.0,0.0,-0.062577698639085,0.031667895864006,6.2623932776424,4,5346.4747307374,-0.0022493420291239,-0.0052518051628535,0.021610316966437
02/21/2020-15:40:01.617006 -- 799998,0.5945791117214241,0.0,0.006021488879176569,0.0,0.0,-0.0128394486839172,0.0257789838289878,0.012870089939322,5,5441.9395562357,-0.0020287154728617,0.016572244877034,-0.033662119476504
02/21/2020-15:40:01.632629 -- 799991,0.5945745009355543,0.0,0.006026099665046352,0.0,0.0,0.051362452108746,0.033455942302175995,0.070549745408478,6,5101.6642628205,0.0034495686804821,0.02127808178774,-0.057679655469156
02/21/2020-15:40:01.648295 -- 799986,0.5945681297246938,0.0,0.0060324708759069015,0.0,0.0,0.039176114516709,0.044064008384991,0.10282075870741,7,5214.2947122862,0.0031711895086932,-0.0043531743607604,-0.032271013298934
02/21/2020-15:40:01.663871 -- 799981,0.594594283552173,0.0,0.006006317048427628,0.0,0.0,0.069036011207931,0.0005178856320006,0.14313731942045,8,5511.4713423831,-0.013185621490143,0.011659458537586,-0.040316560713041
02/21/2020-15:40:01.679498 -- 799967,0.5946582349104269,0.0,0.005942365690173647,0.0,0.0,0.20966570959242603,-0.105961125860877,0.255516651415,9,5334.2800620636,-0.025520818778799,0.053002515581765,-0.11237933199455
02/21/2020-15:40:01.695113 -- 799951,0.5947014227498895,0.0,0.005899177850711105,0.0,0.0,0.4220144286024,-0.17786887856601,0.38187534713448,10,5257.8662930344,-0.00058433785656125,0.074775497483465,-0.12635869571948
02/21/2020-15:40:01.710733 -- 799935,0.5947297111080904,0.0,0.0058708894925102945,0.0,0.0,0.53613417328071,-0.22496899497036,0.50940331174577,11,5687.9282868526,0.0022312476945725,0.041118138456684,-0.12752796461129
02/21/2020-15:40:01.741975 -- 799921,0.5947462143232707,0.0,0.005854386277329919,0.0,0.0,0.62410773937719,-0.25244684824568403,0.6171073826851,12,5285.5096308186,0.0079167945770327,0.029698489391345,-0.10770407093932
02/21/2020-15:40:01.757597 -- 799912,0.5947735944248194,0.0,0.005827006175781242,0.0,0.0,0.73614565957614,-0.29803471732423203,0.68421681612459,13,5295.7212984956,0.010531644618134,0.038926795198915,-0.067109433439496
02/21/2020-15:40:01.773218 -- 799910,0.594736496100633,0.0,0.005864104499967694,0.0,0.0,0.78022456591899,-0.23626600755378901,0.7052725564285,14,5590.6560255387,0.025223979842368,-0.0018938646658356,-0.021055740303907
02/21/2020-15:40:01.788839 -- 799911,0.5947325244033348,0.0,0.005868076197265791,0.0,0.0,0.79506053348328,-0.22965313155245698,0.69646140758787,15,5345.6048387097,0.0048738608147056,0.0023581299009797,0.0088111488406329
02/21/2020-15:40:01.804461 -- 799913,0.5947206514712524,0.0,0.005879949129348222,0.0,0.0,0.80860419858231,-0.20988469963521,0.68177944789742,16,5586.5507352941,0.0079564809671388,-0.00070562271222698,0.014681959690448
02/21/2020-15:40:01.820082 -- 799919,0.5946583634534109,0.0,0.005942237147189627,1.0,0.0,0.83443698572859,-0.10617514992927,0.63188687262411,17,5555.5731523379,0.032638008284831,-0.014290902594201,0.049892575273309
02/21/2020-15:40:01.835704 -- 799928,0.5946338508688838,0.0,0.005966749731716857,1.0,0.0,0.79436186457114,-0.065361696691434,0.55997351295609,18,5301.2612809316,0.0037624227298697,-0.018695433424719,0.071913359668016
02/21/2020-15:40:01.851325 -- 799932,0.5945885589579919,0.0,0.006012041642608763,1.0,0.0,0.7073811736443,0.0100493349435906,0.52900160675732,19,5474.0302158273,0.0064841808208595,-0.037822768115636,0.030971906198775
02/21/2020-15:40:01.866946 -- 799935,0.5946056699257918,0.0,0.0059949306748088085,0.0,0.0,0.74695022373846,-0.0184404264433338,0.50319622849247,20,5065.3760806916,-0.0017507220091375,0.016158639477066,0.025805378264845
02/21/2020-15:40:01.882568 -- 799934,0.5945763997956033,0.0,0.006024200804997321,0.0,0.0,0.69978298079457,0.03029434032054,0.51577716722757,21,5258.9502881844,0.0065134951996514,-0.02164884549444,-0.012580938735099
02/21/2020-15:40:01.898189 -- 799933,0.5945991061046322,0.0,0.006001494495968382,0.0,0.0,0.73586274059706,-0.007511664212643,0.526132290185,22,5071.4114695341,-0.0049445624379934,0.016703385037959,-0.010355122957429
02/21/2020-15:40:01.913814 -- 799929,0.5945983910686492,0.0,0.006002209531951403,0.0,0.0,0.74077479240489,-0.0063211293009138,0.55453311945288,23,4873.1235632184,0.001182634807067,0.001199981963148,-0.028400829267883
02/21/2020-15:40:01.929440 -- 799928,0.594602125283049,0.0,0.005998475317551621,0.0,0.0,0.73778047424808,-0.0125385962765505,0.56103156364033,24,4942.3431442929,-0.0022866712065191,0.00025015707829848,-0.006498444187449
02/21/2020-15:40:01.945053 -- 799928,0.594610528984156,0.0,0.005990071616444653,0.0,0.0,0.7556502162031801,-0.026530758619653004,0.56379748858688,25,4749.7622126437,-0.00076942077252609,0.0075261065448688,-0.002765924946543
02/21/2020-15:40:01.960674 -- 799927,0.5946306378492625,0.0,0.005969962751338117,0.0,0.0,0.79482049724685,-0.060012019022034,0.56618666653105,26,5094.4752688172,-0.0024353028737396,0.017003040899683,-0.0023891779441766
02/21/2020-15:40:01.976295 -- 799928,0.5946156339803108,0.0,0.005984966620289766,0.0,0.0,0.76263502028196,-0.035030577217539,0.56249342728826,27,4598.8301075269,0.0012977319298355,-0.013518802369502,0.0036932392427921
02/21/2020-15:40:01.991917 -- 799928,0.5946166400070351,0.0,0.005983960593565575,0.0,0.0,0.7710051793545599,-0.036705611713317,0.55929766221163,28,4460.4731182796,0.0010113597154323,0.0026595681632526,0.003195765076629
