timestamp -- motor_step_command,mfc1_stpt,mfc2_stpt,mfc3_stpt,led1_stpt,led2_stpt,ft_posx,ft_posy,ft_heading,ft_frame,ft_error,ft_roll,ft_pitch,ft_yaw
02/21/2020-15:32:11.204079 -- 799947,0.5949453666869129,0.0,0.005655233913687699,1.0,0.0,-0.21905779052448898,-0.58403553370998,0.41100726609968,28,4844.1789794364,-0.02393353963598,-0.080317645667565,0.20761759825262
02/21/2020-15:32:11.219701 -- 799973,0.5949091678842807,0.0,0.0056914327163198435,1.0,0.0,-0.50286255203664,-0.52376452732746,0.20726465674926,29,4936.6863636364,-0.0096588431434449,-0.096385587998245,0.20374260935042
02/21/2020-15:32:11.235322 -- 800001,0.594848348881491,0.0,0.005752251719109609,1.0,0.0,-0.72190884743106,-0.42250088768250005,6.2712867096471,30,4844.0473644003,0.026522338445322,-0.07610207307265,0.21916325428172
02/21/2020-15:32:11.250951 -- 800025,0.594801000497858,0.0,0.005799600102742583,1.0,0.0,-0.94894455806676,-0.3436658289336,6.0845975507775,31,5183.3428798727,0.034129362157552,-0.072598130590826,0.18668915886961
02/21/2020-15:32:11.266572 -- 800042,0.5947803010262555,0.0,0.005820299574345159,1.0,0.0,-1.00712550930669,-0.30920120871531,5.9520116626933,32,5015.0848,0.016175790424104,-0.015720520257496,0.13258588808418
02/21/2020-15:32:11.282186 -- 800054,0.5948136226533769,0.0,0.005786977947223754,0.0,0.0,-1.0829839986057,-0.36468171787245,5.8585600861167,33,4888.8599527931,-0.0078615065477771,-0.030335891035906,0.093451576576615
02/21/2020-15:32:11.297807 -- 800063,0.5948559974764692,0.0,0.005744603124131429,0.0,0.0,-1.2357334536003002,-0.43523579832117,5.7870800732035,34,5329.5162311956,0.0015516763802479,-0.056075255374804,0.07148001291321
02/21/2020-15:32:11.313428 -- 800061,0.5948421101941338,0.0,0.005758490406466798,0.0,0.0,-1.17502590541581,-0.41211347323278,5.7990256656139,35,4789.4886706949,-0.0027258457385859,0.021481835364081,-0.011945592410372
02/21/2020-15:32:11.329049 -- 800059,0.5948431275230633,0.0,0.005757473077537321,0.0,0.0,-1.17350915091669,-0.41380732590035996,5.8156794900894,36,4998.7311988086,-0.00073350073521287,0.0001907829281336,-0.016653824475494
02/21/2020-15:32:11.344671 -- 800053,0.5948394475726055,0.0,0.005761153027995087,0.0,0.0,-1.18819820772597,-0.40768020838818,5.8651560157453,37,5340.9846938776,0.00394360424396,-0.0035494957203325,-0.049476525655947
02/21/2020-15:32:11.360292 -- 800046,0.5948232936904985,0.0,0.005777306910102186,0.0,0.0,-1.11475329425442,-0.38078399467985996,5.9146076585278,38,4624.3844476744,-0.0011016121500324,0.026050823385956,-0.049451642782507
02/21/2020-15:32:11.375914 -- 800039,0.5948213460512848,0.0,0.005779254549315862,0.0,0.0,-1.10629986647901,-0.37754117538908993,5.9704438728213,39,4424.53125,7.7377570389728e-05,0.0030174014276864,-0.055836214293474
02/21/2020-15:32:11.407156 -- 800035,0.5948482933182366,0.0,0.005752307282364006,0.0,0.0,-1.11206707725819,-0.42240837486392996,6.0020154312711,40,4598.3947939262,-0.013739166061686,-0.0062147093581702,-0.031571558449796
02/21/2020-15:32:11.422777 -- 800033,0.5948628017747337,0.0,0.005737798825866925,0.0,0.0,-1.08051037152807,-0.44656495493157,6.0172686573615,41,4714.8286537077,-0.010594532132881,0.0079526218244735,-0.015253226090359
02/21/2020-15:32:11.438399 -- 800032,0.5948801509129239,0.0,0.005720449687676744,0.0,0.0,-1.0564580297863801,-0.47545127001822,6.0309704121843,42,4796.8654676259,-0.01136143077266,0.0052832658615556,-0.013701754822818
02/21/2020-15:32:11.454020 -- 800031,0.5948746786647336,0.0,0.005725921935866907,0.0,0.0,-1.06871438136774,-0.4663399767816,6.0371019953746,43,4644.6590093324,0.0039507138673869,-0.0032104212778331,-0.0061315831903423
02/21/2020-15:32:11.469642 -- 800031,0.5948784850670792,0.0,0.005722115533521394,0.0,0.0,-1.08448921055406,-0.47267763668688,6.0342393864165,44,4533.2507183908,-0.00075992021342294,-0.0056155938182081,0.0028626089580996
02/21/2020-15:32:11.485264 -- 800031,0.5948802590782805,0.0,0.005720341522320096,0.0,0.0,-1.08800961210024,-0.47563136533704004,6.0344161754713,45,4287.168579627,-0.00066522453765752,-0.0013798158841418,-0.00017678905481004
